0.07,0.28,0,0,0,0.01,0,0.01,0,0.13
0.25,0.1,0,0,0,0.01,0.02,0.07,0.04,0.01
0.07,0.03,0.06,0,0,0.15,0.03,0,0,0.16
0.03,0.07,0,0.07,0,0.03,0,0.06,0.22,0.02
0.02,0.05,0.19,0.04,0,0.05,0,0.02,0,0.13
0.03,0.01,0,0.03,0,0.01,0.26,0.12,0,0.04
0.01,0.08,0,0.28,0,0,0.09,0.02,0,0.02
0,0.01,0.02,0,0,0.19,0,0.15,0.1,0.03
0.03,0.13,0,0.04,0,0.07,0,0.04,0.17,0.02
0.03,0.1,0.18,0,0,0,0.02,0,0.14,0.03
0.07,0.04,0.01,0.02,0,0.03,0,0.31,0,0.02
0.07,0.03,0,0.07,0,0.16,0,0.14,0.03,0
0.1,0.09,0.04,0.21,0,0,0,0,0.04,0.02
0.03,0.07,0.03,0,0,0.19,0,0.08,0.03,0.07
0.05,0.1,0.06,0,0,0.03,0,0,0.04,0.22
0.17,0.03,0.04,0.05,0,0.06,0,0,0,0.15
0.08,0.02,0.11,0.22,0,0.01,0,0.01,0,0.05
0.14,0.1,0.1,0,0,0.01,0.02,0.1,0,0.03
0.05,0.05,0.05,0,0,0.13,0,0.16,0.06,0
0.02,0.14,0.25,0,0,0.05,0.02,0,0,0.02
0.02,0.02,0.01,0,0,0.05,0,0.02,0.19,0.19
0.11,0,0,0.01,0,0.04,0,0,0.1,0.24
0.03,0.1,0.12,0.03,0,0.1,0,0.11,0,0.01
0.01,0.03,0.15,0,0,0.02,0,0.05,0.06,0.18
0,0.13,0.01,0,0,0.02,0,0.07,0.13,0.14
0.07,0.17,0.04,0.03,0,0.14,0,0.03,0,0.02
0.26,0.01,0.03,0,0,0.14,0,0.04,0.01,0.01
0.01,0.21,0,0.02,0,0.05,0.07,0.01,0,0.13
0.07,0.06,0.07,0,0,0.07,0,0.1,0.04,0.09
0.03,0,0,0.1,0,0.17,0,0.11,0.02,0.07
0.2,0.09,0,0.01,0,0.01,0,0.04,0.03,0.12
0.24,0.14,0,0.01,0,0.03,0,0.01,0.06,0.01
0.03,0.12,0.11,0.01,0,0.09,0,0.13,0,0.01
0.07,0.12,0,0.07,0,0.09,0,0.07,0.01,0.07
0.12,0.04,0.02,0,0,0.23,0,0.07,0.02,0
0.01,0.14,0.06,0,0,0,0,0.17,0,0.12
0.07,0.28,0.05,0,0,0,0,0.09,0.01,0
0.01,0.13,0.01,0.06,0,0.03,0,0.04,0,0.22
0.13,0.01,0.01,0.05,0,0,0,0,0.02,0.28
0,0.14,0.04,0,0,0.08,0,0.09,0.04,0.11
0.16,0,0.12,0,0,0.04,0.16,0.01,0,0.01
0,0.13,0,0.01,0,0,0,0,0.3,0.06
0.03,0.01,0.01,0.04,0,0.26,0,0.08,0,0.07
0.01,0.08,0,0.09,0,0.06,0,0.07,0.05,0.14
0.05,0.11,0.03,0.05,0,0.07,0,0.14,0,0.05
0,0.04,0.03,0,0,0.13,0,0.03,0.19,0.08
0.15,0.2,0,0,0,0.03,0,0.08,0.03,0.01
0.07,0.07,0,0.11,0,0.03,0,0.1,0.02,0.1
0.01,0.19,0.04,0,0,0.02,0,0.02,0.03,0.19
0.19,0.04,0.02,0.06,0,0.09,0,0,0,0.1
0,0.01,0.01,0,0,0,0.12,0,0.25,0.11
0.05,0.05,0.16,0,0,0,0.14,0,0.08,0.02
0.01,0.02,0.22,0,0,0.05,0,0.13,0.01,0.06
0.09,0.09,0,0,0,0.02,0.14,0.14,0,0.02
0.15,0.01,0.07,0,0,0.03,0.21,0,0,0.03
0.28,0.09,0.04,0,0,0.03,0,0.05,0,0.01
0.01,0.02,0.08,0,0,0.06,0,0.19,0.08,0.06
0.13,0,0.03,0,0,0,0,0.08,0.24,0.02
0.06,0.05,0,0,0,0.06,0.12,0.15,0,0.06
0.01,0.09,0,0.12,0,0.14,0.03,0.01,0,0.1
0.06,0.06,0,0.17,0,0.17,0,0.04,0,0
0.09,0.21,0.02,0.03,0,0,0,0.1,0,0.05
0,0.15,0.19,0.03,0,0.06,0,0.02,0,0.05
0.15,0.12,0.01,0.09,0,0.01,0,0,0.04,0.08
0.03,0.04,0.12,0.22,0,0.02,0,0.04,0,0.03
0.12,0.01,0.03,0,0,0.19,0,0.03,0.12,0
0.08,0.04,0,0.13,0,0.12,0,0.01,0.05,0.07
0.02,0.17,0.09,0.16,0,0.05,0,0.01,0,0
0.11,0.01,0.04,0,0,0.03,0,0.12,0.07,0.12
0.02,0.02,0,0.06,0,0.09,0,0.26,0.03,0.02
0.03,0.01,0.12,0.21,0,0.03,0,0.09,0,0.01
0.03,0.05,0.1,0,0,0.01,0.05,0.01,0.04,0.21
0,0.16,0,0,0,0.29,0,0.04,0.01,0
0.01,0.05,0,0.12,0,0.16,0,0.06,0.1,0
0.02,0,0,0.05,0,0.14,0,0.17,0.04,0.08
0.14,0.14,0.07,0,0,0,0,0.02,0.13,0
0.02,0.11,0.22,0,0,0,0,0.1,0.03,0.02
0.02,0.11,0.06,0,0,0.12,0,0.04,0.14,0.01
0.01,0.19,0,0,0,0.05,0.04,0.01,0.18,0.02
0,0.05,0,0.18,0,0.16,0.05,0.01,0,0.05
0.03,0.02,0.02,0.23,0,0.11,0,0.05,0,0.04
0.05,0,0.31,0.01,0,0.01,0,0.01,0.06,0.05
0.13,0.05,0,0.09,0,0.1,0,0.01,0.03,0.09
0.12,0.01,0.11,0,0,0.06,0,0.11,0.08,0.01
0.02,0.23,0,0,0,0,0.06,0.12,0.05,0.02
0.18,0.09,0.11,0.03,0,0.01,0,0,0.07,0.01
0.02,0.05,0.09,0.02,0,0.01,0,0.22,0,0.09
0.05,0.02,0,0.02,0,0.06,0,0,0.05,0.3
0.13,0.04,0.02,0.07,0,0,0,0.03,0,0.21
