[0.75192, 0.00058, 0.00853, 0.00662, 0.02028, 0.00088, 0.00188, 0.00739, 0.00006, 0.00164, 0.01338, 0.00234] * [0.75192, 0.00058, 4.87641] * [] * 0 *   0
[0.00212, 0.00029, 0.00853, 0.00126, 0.06126, 0.11501, 0.00185, 0.00683, 0.00045, 0.00532, 0.01336, 0.04547] * [0.00212, 0.00029, 6.69776] * [] * 0 *   0
[0.67808, 0.00120, 0.00872, 0.00645, 0.00460, 0.01229, 0.00191, 0.00707, 0.00029, 0.00546, 0.01337, 0.04654] * [0.67808, 0.00120, 5.53594] * [] * 0 *   0
[0.00042, 0.77884, 0.00838, 0.00713, 0.04069, 0.00207, 0.00597, 0.00747, 0.00029, 0.00286, 0.01616, 0.04506] * [0.00042, 0.77884, 4.90977] * [] * 0 *   0
[0.16699, 0.85198, 0.00904, 0.00108, 0.00527, 0.00116, 0.00421, 0.00595, 0.00006, 0.00028, 0.01323, 0.00225] * [0.16699, 0.85198, 4.09003] * [] * 0 *   0
[0.86430, 0.85176, 0.00904, 0.00102, 0.00527, 0.00116, 0.00421, 0.03395, 0.00008, 0.00043, 0.01322, 0.00289] * [0.86430, 0.85176, 2.80969] * [] * 0 *   0
[0.13644, 0.13080, 0.00839, 0.01078, 0.00666, 0.00078, 0.00257, 0.00747, 0.00029, 0.00282, 0.01622, 0.04626] * [0.13644, 0.13080, 5.75444] * [] * 0 *   0
[0.72977, 0.81580, 0.00930, 0.00093, 0.00520, 0.00114, 0.00421, 0.00626, 0.00763, 0.00213, 0.01073, 0.03072] * [0.72977, 0.81580, 3.45213] * [] * 0 *   0
[0.78027, 0.82010, 0.00904, 0.00108, 0.00527, 0.00098, 0.00421, 0.00615, 0.00007, 0.00043, 0.01323, 0.00225] * [0.78027, 0.82010, 3.01650] * [] * 0 *   0
[0.17876, 0.85191, 0.00909, 0.00691, 0.01548, 0.00093, 0.02258, 0.00724, 0.00006, 0.00025, 0.01337, 0.00470] * [0.17876, 0.85191, 4.17048] * [] * 0 *   0
[0.66889, 0.74861, 0.00904, 0.00148, 0.00500, 0.00084, 0.00200, 0.00459, 0.00008, 0.00538, 0.01323, 0.00317] * [0.66889, 0.74861, 4.16704] * [] * 0 *   0
