[0.26228, 0.18404, 0.47161, 0.49508, 0.50396, 0.45894, 0.49755, 0.49545, 0.40211, 0.48410, 0.38728, 0.54467, 0.54848, 0.42685] * [0.47750, 0.47018, 0.61288, 0.27009, 0.41404] * [] * 0.00000 *   0
[0.16452, 0.60906, 0.54636, 0.48341, 0.49414, 0.26592, 0.49830, 0.43407, 0.59175, 0.41676, 0.32739, 0.54832, 0.52920, 0.64315] * [0.29797, 0.28283, 0.47549, 0.89130, 0.28827] * [] * 0.00000 *   0
[0.00748, 0.00202, 0.03480, 0.72664, 0.39211, 0.62360, 0.60607, 0.52350, 0.23970, 0.44742, 0.41554, 0.76717, 0.49779, 0.56996] * [0.49575, 1.08268, 0.06516, 0.00378, 0.01401] * [] * 0.00000 *   0
[0.00491, 0.00414, 0.00474, 0.02888, 0.76362, 0.01111, 0.52168, 0.55099, 0.50728, 0.57043, 0.40941, 0.44410, 0.45677, 0.39404] * [1.33954, 0.06082, 0.00998, 0.00872, 0.01035] * [] * 0.00000 *   0
[0.00444, 0.07424, 0.61768, 0.46728, 0.27247, 0.47096, 0.31200, 0.42739, 0.35975, 0.49094, 0.41883, 0.51713, 0.39601, 0.53913] * [0.47181, 0.42565, 0.92774, 0.13173, 0.00789] * [] * 0.00000 *   0
[0.43399, 0.48144, 0.44634, 0.88258, 0.44474, 0.40501, 0.65069, 0.52147, 0.46247, 0.44118, 0.46153, 0.59959, 0.51694, 0.40657] * [0.08395, 0.44996, 0.38640, 0.56508, 0.66827] * [] * 0.00000 *   0
[0.01717, 0.47907, 0.44634, 0.97939, 0.46612, 0.40435, 0.65062, 0.58219, 0.42994, 0.44094, 0.49433, 0.44355, 0.50948, 0.83155] * [0.02096, 0.64722, 0.54666, 0.79349, 0.03132] * [] * 0.00000 *   0
[0.46532, 0.64024, 0.87438, 0.10897, 0.43634, 0.55260, 0.46471, 0.40147, 0.68053, 0.48986, 0.28386, 0.54653, 0.40414, 0.33473] * [0.08749, 0.01512, 0.44409, 0.71422, 0.75825] * [] * 0.00000 *   0
[0.43759, 0.45185, 0.05646, 0.17842, 0.43356, 0.51516, 0.46679, 0.52195, 0.68597, 0.60945, 0.48575, 0.51151, 0.42917, 0.45184] * [0.59512, 0.17129, 0.05507, 0.53413, 0.67287] * [] * 0.00000 *   0
[0.00126, 0.10226, 0.01486, 0.89862, 0.41287, 0.37762, 0.40908, 0.52279, 0.57971, 0.62951, 0.42473, 0.51773, 0.43922, 0.31214] * [0.17206, 1.07126, 0.02533, 0.17585, 0.00218] * [] * 0.00000 *   0
[0.13219, 0.00418, 0.00294, 0.02069, 0.50514, 0.37970, 0.51390, 0.64136, 0.59035, 0.74203, 0.38214, 0.36443, 0.47540, 0.41678] * [1.11608, 0.03628, 0.00517, 0.00734, 0.23526] * [] * 0.00000 *   0
[0.00332, 0.01453, 0.62524, 0.28353, 0.49949, 0.70641, 0.14735, 0.42715, 0.65220, 0.46359, 0.43121, 0.48062, 0.51879, 0.45962] * [0.60308, 0.28788, 1.00095, 0.02747, 0.00628] * [] * 0.00000 *   0
[0.00279, 0.47776, 0.63120, 0.50651, 0.41994, 0.55807, 0.60405, 0.38959, 0.55343, 0.44837, 0.46527, 0.44753, 0.42338, 0.42187] * [0.29540, 0.30151, 0.64524, 0.71897, 0.00462] * [] * 0.00000 *   0
[0.59399, 0.97106, 0.01989, 0.21180, 0.46617, 0.60246, 0.53810, 0.57234, 0.52052, 0.43799, 0.42915, 0.44429, 0.48805, 0.27937] * [0.02759, 0.00953, 0.00091, 0.64209, 0.86734] * [] * 0.00000 *   0
[0.08532, 0.03480, 0.15074, 0.99869, 0.44770, 0.06795, 0.65935, 0.49860, 0.43854, 0.28932, 0.52285, 0.27479, 0.40252, 0.51423] * [0.00263, 1.27353, 0.30731, 0.07169, 0.17691] * [] * 0.00000 *   0
[0.03917, 0.06964, 0.21874, 0.31740, 0.48999, 0.44033, 0.55974, 0.57388, 0.41151, 0.43760, 0.44443, 0.51108, 0.48764, 0.42824] * [0.84744, 0.46139, 0.34524, 0.11255, 0.06351] * [] * 0.00000 *   0
[0.05238, 0.71674, 0.59279, 0.18790, 0.43593, 0.51187, 0.59083, 0.40094, 0.44617, 0.49000, 0.56193, 0.51108, 0.50758, 0.41552] * [0.25390, 0.07720, 0.35669, 0.93238, 0.08519] * [] * 0.00000 *   0
[0.00965, 0.01167, 0.57030, 0.99103, 0.38933, 0.72482, 0.50336, 0.10588, 0.51196, 0.37060, 0.49891, 0.38833, 0.30773, 0.44190] * [0.01134, 0.80444, 1.00515, 0.02361, 0.01953] * [] * 0.00000 *   0
[0.36596, 0.00866, 0.09744, 0.71665, 0.26889, 0.39780, 0.30966, 0.42571, 0.35975, 0.49094, 0.43638, 0.33772, 0.39601, 0.53913] * [0.41710, 0.87440, 0.14946, 0.01334, 0.63510] * [] * 0.00000 *   0
[0.03917, 0.02441, 0.21874, 0.31740, 0.49165, 0.63633, 0.55974, 0.57387, 0.41164, 0.43894, 0.44443, 0.35089, 0.49320, 0.42824] * [0.88227, 0.48035, 0.35943, 0.04094, 0.06577] * [] * 0.00000 *   0
[0.00263, 0.02053, 0.29750, 0.98643, 0.46301, 0.45463, 0.49467, 0.89507, 0.35195, 0.50381, 0.49378, 0.36443, 0.57599, 0.63182] * [0.02325, 1.09108, 0.55067, 0.03942, 0.00505] * [] * 0.00000 *   0
[0.00427, 0.08098, 0.23421, 0.17159, 0.41994, 0.41722, 0.53044, 0.52154, 0.55343, 0.44837, 0.46919, 0.44837, 0.50656, 0.42282] * [0.91868, 0.25379, 0.36737, 0.13064, 0.00691] * [] * 0.00000 *   0
[0.32292, 0.97939, 0.00119, 0.05366, 0.53738, 0.49879, 0.53287, 0.37299, 0.45011, 0.63067, 0.40974, 0.36444, 0.29070, 0.40233] * [0.03152, 0.00266, 0.00006, 0.97675, 0.54312] * [] * 0.00000 *   0
[0.00263, 0.02053, 0.26295, 0.01284, 0.49105, 0.44003, 0.51372, 0.40042, 0.35454, 0.42066, 0.49378, 0.36503, 0.52059, 0.63182] * [0.98598, 0.01989, 0.43219, 0.03473, 0.00445] * [] * 0.00000 *   0
[0.00290, 0.38999, 0.85423, 0.57366, 0.55158, 0.41154, 0.48001, 0.39620, 0.30786, 0.46726, 0.37954, 0.52536, 0.44576, 0.72193] * [0.12992, 0.16409, 0.89799, 0.64801, 0.00513] * [] * 0.00000 *   0
[0.09077, 0.02360, 0.01099, 0.87213, 0.49936, 0.72220, 0.50769, 0.42667, 0.65320, 0.47146, 0.38647, 0.44680, 0.48412, 0.45155] * [0.21654, 1.06355, 0.01874, 0.04027, 0.15594] * [] * 0.00000 *   0
[0.46647, 0.47857, 0.58335, 0.65849, 0.46612, 0.40550, 0.65062, 0.34191, 0.55514, 0.59494, 0.49460, 0.44492, 0.45549, 0.48482] * [0.18163, 0.30546, 0.46316, 0.54575, 0.71913] * [] * 0.00000 *   0
